episode,hybrid_score
1,6.849999999999923
2,124.40000000000043
3,124.40000000000043
4,124.40000000000043
5,124.40000000000043
6,124.40000000000043
7,124.40000000000043
8,124.40000000000043
9,183.8500000000008
10,242.7000000000004
11,242.7000000000004
12,242.7000000000004
13,242.7000000000004
14,242.7000000000004
15,242.7000000000004
16,242.7000000000004
17,301.2499999999991
18,417.1499999999967
19,474.7999999999955
20,532.2999999999944
21,646.3999999999922
22,703.1499999999912
23,759.7499999999902
24,816.1999999999892
25,816.1999999999892
26,816.1999999999892
27,928.4999999999874
28,1151.8999999999944
29,1151.8999999999944
30,1263.0000000000011
31,1318.4000000000044
32,1593.9000000000199
33,1703.8000000000259
34,1703.8000000000259
35,1758.6000000000288
36,1868.0500000000345
37,1868.0500000000345
38,1868.0500000000345
39,1922.7000000000373
40,2140.550000000048
41,2194.9000000000506
42,2465.9000000000633
43,2574.1500000000683
44,2628.2000000000708
45,2628.2000000000708
