episode,score
1,1405
2,1670
3,1335
4,1450
5,1380
6,1595
7,1360
8,1425
9,1655
10,1340
11,1475
12,1325
13,1680
14,1370
15,1505
16,1410
17,1550
18,1330
19,1620
20,1385
21,1470
22,1345
23,1635
24,1395
25,1435
26,1320
27,1600
28,1415
29,1665
30,1375
31,1460
32,1340
33,1640
34,1390
35,1445
36,1325
37,1590
38,1420
39,1675
40,1365
41,1455
42,1335
43,1625
44,1380
45,1430
46,1320
47,1605
48,1410
49,1660
50,1370
51,1465
52,1345
53,1630
54,1395
55,1440
56,1325
57,1595
58,1425
59,1670
60,1360
61,1450
62,1330
63,1620
64,1385
65,1475
66,1340
67,1645
68,1390
69,1435
70,1320
71,1600
72,1415
73,1665
74,1375
75,1460
76,1345
77,1635
78,1395
79,1445
80,1325
81,1590
82,1420
83,1675
84,1365
85,1455
86,1335
87,1625
88,1380
89,1430
90,1320
91,1605
92,1410
93,1660
94,1370
95,1465
96,1345
97,1630
98,1395
99,1440
100,1325
